Temps, It, Stocks, Prix
1,1,101.860016,3.138721
2,2,101.782784,3.608018
3,3,102.270973,3.980161
4,4,104.802925,5.227139
5,5,105.911987,6.454432
6,6,104.084579,4.306620
7,7,106.291092,6.101262
8,8,108.837601,8.880839
9,9,108.164665,7.192891
10,10,109.474045,8.503084
11,11,111.499870,11.971135
12,12,114.393242,15.483290
13,13,112.374001,12.446272
14,14,111.780792,10.705054
15,15,109.973312,8.515617
16,16,110.428436,8.107671
17,17,112.698067,11.718517
18,18,113.507439,11.597492
19,19,114.586853,14.190615
20,20,117.353355,20.381952
21,21,118.117622,20.516109
22,22,115.646118,15.718428
23,23,113.319954,10.120045
24,24,113.346924,9.624033
25,25,112.864441,9.065206
26,26,111.327423,6.012926
27,27,111.338181,7.376303
28,28,108.833366,3.252446
29,29,109.032623,3.377499
30,30,108.362907,2.104084
31,31,107.829071,1.367029
32,32,107.244431,1.058950
33,33,106.895844,0.912492
34,34,105.247559,0.289718
35,35,105.669220,0.172692
36,36,104.260559,0.122017
37,37,106.305077,0.355195
38,38,104.858704,0.148120
39,39,106.129776,0.107705
40,40,105.449127,0.060664
41,41,104.029228,0.000000
42,42,106.077293,0.039864
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.000000
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,99.141502,2.030774
2,2,97.510597,1.429922
3,3,99.372238,1.783695
4,4,98.146141,1.220018
5,5,99.961899,2.138650
6,6,98.962456,1.493601
7,7,99.020988,1.451005
8,8,99.459122,1.285877
9,9,99.703728,1.683752
10,10,99.499344,1.603344
11,11,99.958290,1.238129
12,12,100.097458,1.429908
13,13,102.347145,1.889840
14,14,103.541389,2.437708
15,15,104.574913,2.952457
16,16,104.900246,2.691719
17,17,104.776276,2.467542
18,18,105.590446,2.477642
19,19,103.092049,1.346420
20,20,105.321877,3.021855
21,21,105.579941,1.999294
22,22,107.000999,2.968311
23,23,105.736717,1.993267
24,24,107.844139,3.058034
25,25,107.895538,3.546449
26,26,108.042236,3.292376
27,27,106.452721,1.801657
28,28,104.717957,1.021796
29,29,104.938141,1.150331
30,30,107.139267,1.982035
31,31,105.465851,0.658430
32,32,106.976906,1.439050
33,33,102.995552,0.196362
34,34,102.362648,0.066847
35,35,102.359390,0.025718
36,36,100.267723,0.098026
37,37,100.191254,0.000000
38,38,101.225815,0.045851
39,39,101.503418,0.032452
40,40,100.890305,0.000000
41,41,101.005104,0.000000
42,42,99.387543,0.000000
43,43,99.234055,0.000000
44,44,98.503326,0.000000
45,45,98.403343,0.000000
46,46,100.981621,0.000000
47,47,95.706413,0.000000
48,48,96.079918,0.000000
49,49,94.302505,0.000000
50,50,94.290710,0.000000
51,51,94.325768,0.000000
52,52,94.622238,0.000000
53,53,96.277466,0.000000
54,54,97.227531,0.000000
55,55,97.648575,0.000000
56,56,97.262932,0.000000
57,57,97.331360,0.000000
58,58,97.517334,0.000000
59,59,98.329453,0.000000
60,60,97.851906,0.000000
61,61,97.815491,0.000000
62,62,97.609741,0.000000
63,63,97.822639,0.000000
64,64,98.545799,0.000000
65,65,98.077484,0.000000
66,66,98.467781,0.000000
67,67,97.065636,0.000000
68,68,98.028809,0.000000
69,69,98.660400,0.000000
70,70,98.121826,0.000000
71,71,97.487297,0.000000
72,72,95.645828,0.000000
73,73,96.011879,0.000000
74,74,96.885361,0.000000
75,75,96.581055,0.000000
76,76,97.617805,0.000000
77,77,95.279953,0.000000
78,78,95.619995,0.000000
79,79,96.017906,0.000000
80,80,94.507614,0.000000
81,81,93.810905,0.000000
82,82,93.773605,0.000000
83,83,93.593430,0.000000
84,84,92.994377,0.000000
