Temps, It, Stocks, Prix
1,1,101.860016,5.563031
2,2,101.782784,3.441662
3,3,102.270973,3.832838
4,4,104.802925,4.661165
5,5,105.911987,6.477057
6,6,104.084579,4.480559
7,7,106.291092,6.598368
8,8,108.837601,7.163896
9,9,108.164665,7.844766
10,10,109.474045,7.847269
11,11,111.499870,11.798228
12,12,114.393242,15.776295
13,13,112.374001,12.587988
14,14,111.780792,11.015170
15,15,109.973312,8.608582
16,16,110.428436,8.085617
17,17,112.698067,12.036845
18,18,113.507439,13.025847
19,19,114.586853,14.064051
20,20,117.353355,18.803467
21,21,118.117622,20.344177
22,22,115.646118,15.066429
23,23,113.319954,11.138683
24,24,113.346924,10.942360
25,25,112.864441,9.711445
26,26,111.327423,6.618860
27,27,111.338181,6.525886
28,28,108.833366,2.950705
29,29,109.032623,3.257218
30,30,108.362907,1.984022
31,31,107.829071,1.847429
32,32,107.244431,1.209200
33,33,106.895844,1.500992
34,34,105.247559,0.358440
35,35,105.669220,0.386117
36,36,104.260559,0.100490
37,37,106.305077,0.430221
38,38,104.858704,0.000000
39,39,106.129776,0.090795
40,40,105.449127,0.026733
41,41,104.029228,0.000000
42,42,106.077293,0.000000
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.000000
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.013870
2,2,104.069519,4.491044
3,3,100.503822,2.507414
4,4,100.899460,2.491537
5,5,99.796852,2.119735
6,6,102.921700,3.560372
7,7,103.030922,2.883484
8,8,103.493202,3.650608
9,9,102.138420,2.791091
10,10,102.312622,1.858228
11,11,103.279228,2.813025
12,12,105.589058,4.569735
13,13,105.739807,3.592453
14,14,108.218918,7.145399
15,15,108.925941,7.174621
16,16,108.937943,6.743261
17,17,109.351089,6.725919
18,18,109.017906,6.581548
19,19,109.213501,6.542098
20,20,107.690369,3.636484
21,21,107.090797,3.712078
22,22,107.591690,3.533907
23,23,107.877853,3.927217
24,24,105.148193,1.694543
25,25,105.896187,2.160301
26,26,105.748741,1.466288
27,27,107.325500,2.824383
28,28,109.062256,3.660688
29,29,108.776169,2.619418
30,30,107.011154,1.565251
31,31,107.652519,1.597336
32,32,109.047638,2.736582
33,33,109.167305,2.431204
34,34,106.322449,0.949539
35,35,106.655418,0.414527
36,36,104.391190,0.149024
37,37,102.210587,0.058987
38,38,103.322853,0.027734
